country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations
Chile,2173927480.0,1283591610.0,903801295.0,24728860.0,24331743.0
China,73361897700.0,622000000.0,223299000.0,1376097000.0,1424207358.0
Colombia,899749956.0,596314687.0,307619534.0,15707558.0,22614446.0
Comoros,499753.0,229140.0,95826.0,0.0,81026.0
Congo,776755.0,776755.0,0.0,1486.0,142470.0
Costa Rica,25506084.0,16517795.0,8988289.0,0.0,2575583.0
Côte D'Ivoire,41735988.0,41735988.0,0.0,765732.0,861107.0
Croatia,154256418.0,103649805.0,50457917.0,1774687.0,2864024.0
Cuba,243206388.0,121586063.0,48322326.0,6109003.0,6277602.0
Cyprus,32810799.0,20272046.0,12538013.0,266025.0,907319.0
Czech Republic,625110782.0,415264668.0,214483500.0,9517262.0,9336166.0
Democratic Republic of the Congo,491697.0,274471.0,18452.0,0.0,70982.0
Denmark,162818944.0,259603341.0,146199830.0,3196457.0,6288220.0
Djibouti,86384.0,47887.0,11701.0,0.0,16563.0
Dominica,847647.0,556169.0,291478.0,6417.0,40756.0
Dominican Republic,444885419.0,293807048.0,149863312.0,7590812.0,9065437.0
Ecuador,216783054.0,152696017.0,64087037.0,5500242.0,6844167.0
El Salvador,94508069.0,61970384.0,31103048.0,1687821.0,3376802.0
Equatorial Guinea,4931661.0,2891359.0,1770320.0,0.0,273185.0
Estonia,80350903.0,52896762.0,27454141.0,1056099.0,1042306.0
Eswatini,611797.0,511214.0,100583.0,5117.0,70849.0
Ethiopia,140807601.0,64425977.0,0.0,1051920.0,1751318.0
Fiji,2346629.0,2151803.0,194826.0,28295.0,403222.0
Finland,277362890.0,225003491.0,51856165.0,3664075.0,4986738.0
France,4048759768.0,2734881532.0,1341924272.0,63174840.0,61374571.0
Gabon,464725.0,321337.0,143388.0,1486.0,68934.0
Gambia (Republic of The),329123.0,284217.0,44906.0,0.0,44288.0
Georgia,9838183.0,7037311.0,2800872.0,218793.0,276436.0
Germany,5559660123.0,3757657353.0,1880998029.0,85591334.0,83609837.0
Ghana,13076813.0,11522714.0,1554099.0,120680.0,1350434.0
Greece,604340309.0,376370986.0,239332728.0,8816333.0,9552725.0
Grenada,434131.0,331716.0,102415.0,1037.0,34840.0
Guatemala,53085552.0,45539887.0,7545665.0,1226784.0,1154439.0
Guinea,18037907.0,13323449.0,5363910.0,359962.0,708363.0
Guinea Bissau,95808.0,91854.0,3954.0,0.0,19833.0
Guyana,5436894.0,3971824.0,1465070.0,6606.0,359222.0
Haiti,38.0,38.0,0.0,0.0,0.0
Honduras,11603324.0,9733999.0,834473.0,229026.0,1071780.0
Hungary,471742557.0,439776895.0,274021464.0,8276404.0,10037668.0
Iceland,13371679.0,8939990.0,5415518.0,241670.0,453115.0
India,23741377264.0,19378098301.0,4363278963.0,385522865.0,391592255.0
Iran (Islamic Republic of),2903646760.0,1923778535.0,979868225.0,45635583.0,55128821.0
Iran,42370016.0,33205116.0,8845010.0,204060.0,6362080.0
Iraq,6189254.0,3061873.0,1021023.0,9985.0,1034243.0
Ireland,154255701.0,101094321.0,48671778.0,1970708.0,4934411.0
Israel,1715884390.0,937049196.0,778835194.0,10978634.0,11021107.0
Italy,3996708893.0,2685570162.0,1376771041.0,61536005.0,59967580.0
Jamaica,2323105.0,1806074.0,517031.0,3784.0,298857.0
Japan,2406847666.0,1622704764.0,784142902.0,69607270.0,67632499.0
Jordan,125306167.0,83043942.0,42112225.0,1491301.0,4510649.0
Kazakhstan,294713031.0,192566491.0,102146540.0,5540990.0,7273357.0
Kenya,68360735.0,57564181.0,9861781.0,655908.0,1555612.0
Lao People’s Democratic Republic,10577816.0,3233148.0,1113307.0,0.0,2341617.0
Laos,46826212.0,31761468.0,15064744.0,586541.0,1637045.0
Latvia,82723388.0,54788326.0,30762258.0,1274929.0,1265141.0
Lebanon,84034389.0,54792438.0,28459307.0,1506750.0,1668695.0
Lesotho,145718.0,125911.0,19807.0,0.0,56256.0
Liberia,930407.0,907216.0,23191.0,1847.0,62910.0
Libya,2918954.0,2918954.0,0.0,0.0,414348.0
Liechtenstein,2346990.0,1461214.0,906097.0,38254.0,36999.0
Lithuania,184721691.0,113625444.0,71096247.0,2477642.0,2462111.0
Luxembourg,24370229.0,16077140.0,8293089.0,358205.0,617004.0
Madagascar,1138845.0,1138845.0,0.0,13544.0,196768.0
Malawi,21321575.0,20827868.0,493707.0,248767.0,435416.0
Malaysia,467856278.0,321859890.0,145996388.0,14347225.0,13174945.0
Maldives,50650941.0,37103125.0,13547816.0,531861.0,561995.0
Mali,1701371.0,1295557.0,405814.0,0.0,195371.0
Malta,57241721.0,35066589.0,22911099.0,709352.0,707259.0
Mauritania,1519104.0,1352753.0,122744.0,5123.0,178642.0
Mauritius,3405403.0,2276552.0,1128851.0,0.0,869197.0
Republic of Moldova,3147029260.0,2208931742.0,1197010040.0,49014585.0,52627853.0
Moldova,36088942.0,25293828.0,10716449.0,691029.0,836536.0
Monaco,432538.0,232507.0,197631.0,0.0,39785.0
Mongolia,205816234.0,133153413.0,79749891.0,3058169.0,3916961.0
Montenegro,17785922.0,10612943.0,7172979.0,269524.0,305723.0
Morocco,1346071723.0,763006687.0,567666540.0,14929648.0,20654288.0
Mozambique,2588652.0,2055194.0,533458.0,0.0,512382.0
Myanmar,15630504.0,8186286.0,3944218.0,3800.0,3549628.0
Namibia,7242686.0,6177007.0,1065679.0,142650.0,165116.0
Nepal,160704373.0,132116703.0,28587670.0,896127.0,3913622.0
Netherlands,171893098.0,119300504.0,57224812.0,0.0,18079941.0
New Zealand,64358757.0,41702012.0,22656745.0,1404314.0,1352464.0
Nicaragua,530605.0,530605.0,0.0,0.0,171480.0
Niger,1402739.0,1268567.0,134172.0,0.0,377793.0
Nigeria,94256841.0,87897424.0,6359417.0,1110632.0,3895487.0
North Macedonia,22080918.0,14235961.0,7445001.0,510454.0,683138.0
Norway,317077800.0,210992383.0,106085417.0,4856669.0,4718370.0
Oman,12006206.0,10073689.0,2268384.0,65081.0,1611990.0
Pakistan,409352598.0,94232509.0,72538622.0,6731695.0,21200523.0
Panama,98630129.0,57393898.0,31810465.0,1484600.0,1761379.0
Papua New Guinea,216136.0,215426.0,710.0,0.0,46558.0
Paraguay,35365668.0,28746451.0,6619217.0,826233.0,816888.0
Peru,471910678.0,299460131.0,172450547.0,10096171.0,9758461.0
Philippines,415706579.0,285259472.0,91672800.0,7034359.0,13577243.0
Poland,1956121422.0,1259601526.0,742836326.0,22881533.0,32176410.0
Portugal,584013187.0,391387229.0,200550644.0,9373064.0,10587880.0
Qatar,252043824.0,119477403.0,90860361.0,2868764.0,3473758.0
Russian Federation,824835828.0,476890653.0,360782785.0,9142831.0,9174376.0
Russia,3187339217.0,1895722013.0,1291617204.0,44038149.0,50585527.0
Rwanda,10057596.0,9420140.0,1035512.0,275512.0,656452.0
Saint Kitts and Nevis,606383.0,411338.0,195045.0,5740.0,43149.0
Saint Lucia,2566655.0,1254712.0,844384.0,8391.0,54780.0
Saint Vincent and the Grenadines,447728.0,191671.0,0.0,1309.0,16681.0
Samoa,341577.0,326011.0,15566.0,0.0,53478.0
San Marino,1780262.0,978277.0,761167.0,19719.0,45357.0
Sao Tome and Principe,254655.0,101743.0,42104.0,0.0,37821.0
Saudi Arabia,1493558585.0,378442132.0,49981450.0,21513560.0,21377229.0
Senegal,24576386.0,22555544.0,1388194.0,348554.0,805689.0
Serbia,260920154.0,153425397.0,107494757.0,2293165.0,5395505.0
Seychelles,4817047.0,3048844.0,1768203.0,41548.0,140574.0
Sierra Leone,1161626.0,896522.0,96498.0,7981.0,202670.0
Singapore,111313023.0,68832210.0,42688712.0,575307.0,6522042.0
Slovakia,291900712.0,186530834.0,105369878.0,4030530.0,3999304.0
Slovenia,123699118.0,75578618.0,48120500.0,1633408.0,1619971.0
Solomon Islands,74940.0,61834.0,13106.0,0.0,25165.0
Somalia,3598437.0,2947877.0,650560.0,19326.0,122408.0
Republic of Korea,120409410.0,117376538.0,22345097.0,3361916.0,4507992.0
Sudan,1046441166.0,839120733.0,247839905.0,21548543.0,21128267.0
South Sudan,344766.0,272872.0,16180.0,201.0,53810.0
Spain,2223903391.0,1449794556.0,825330923.0,35608369.0,48522553.0
Sri Lanka,236518835.0,191070183.0,45448652.0,6357355.0,6435853.0
Sudan,4575178.0,3928832.0,646346.0,45572.0,666167.0
Suriname,7639045.0,6388663.0,1249191.0,105991.0,223516.0
Sweden,142763783.0,93033907.0,49729876.0,569749.0,9375467.0
Switzerland,549838738.0,332938733.0,203166360.0,8387502.0,8215395.0
Tajikistan,1585367.0,1473250.0,112117.0,0.0,295907.0
Timor-Leste,498248823.0,362309234.0,135939470.0,13671889.0,13492456.0
Timor,1374207.0,1248901.0,125306.0,0.0,267300.0
Togo,1362695.0,1197197.0,165498.0,0.0,332003.0
Trinidad and Tobago,14668101.0,11334950.0,3333151.0,402182.0,384589.0
Tunisia,97062063.0,69590001.0,27471252.0,2087637.0,2188257.0
Turkey,4093282713.0,2550001059.0,1447265213.0,63135845.0,62386978.0
Uganda,38970812.0,38961673.0,9139.0,567418.0,1086352.0
Ukraine,154035072.0,124559162.0,29475910.0,3587313.0,3874697.0
United Arab Emirates,1619502153.0,106799026.0,91094027.0,14235855.0,15441132.0
United States of America,8010023327.0,5512273374.0,2497749953.0,79588731.0,81643966.0
United States,34390330513.0,20434035269.0,14718215632.0,323086016.0,335942594.0
Uruguay,298171007.0,187702842.0,110468165.0,4512448.0,4465927.0
Uzbekistan,17867339.0,11739626.0,3655715.0,78652.0,3377568.0
Viet Nam,38238.0,38238.0,0.0,0.0,12895.0
Vietnam,145800520.0,142489750.0,7426621.0,3583752.0,4180598.0
Yemen,1593637.0,1585060.0,8577.0,0.0,285946.0
Zambia,6760736.0,6040621.0,720115.0,197831.0,241945.0
Zimbabwe,88880439.0,59807242.0,29073197.0,1638216.0,1547131.0
